client_id;registration_date;region;age;total_orders
1;2024-04-24;ЦАО;65;1
2;2024-10-08;САО;32;3
3;2024-05-22;ЦАО;61;0
4;2025-07-12;ЦАО;55;2
5;2025-03-08;ЦАО;19;2
6;2024-04-05;САО;32;0
7;2025-06-01;ВАО;19;3
8;2025-07-28;САО;63;0
9;2025-07-12;ЮАО;32;2
10;2025-04-04;ВАО;35;1
11;2024-01-07;САО;62;4
12;2025-03-08;ЗАО;35;1
13;2024-06-08;САО;39;0
14;2024-04-14;ЦАО;42;1
15;2024-04-09;ЗАО;40;2
16;2024-09-27;ЦАО;64;2
17;2025-04-15;ВАО;25;5
18;2025-01-22;ЦАО;53;1
19;2024-10-27;ВАО;41;2
20;2025-08-14;САО;63;6
21;2024-03-12;ЦАО;60;3
22;2024-08-21;ЗАО;23;1
23;2024-08-26;ЦАО;42;3
24;2024-10-11;ЮАО;58;3
25;2025-01-08;САО;41;5
26;2024-12-29;САО;60;7
27;2024-09-30;ЦАО;56;5
28;2024-06-24;ВАО;64;4
29;2024-09-07;САО;47;1
30;2025-01-23;ЗАО;58;2
31;2025-07-24;САО;61;4
32;2024-11-28;ЦАО;32;3
33;2024-02-02;ЗАО;43;1
34;2024-10-01;ЦАО;31;7
35;2025-08-03;ЗАО;31;2
36;2025-05-26;ЮАО;59;8
37;2025-04-14;САО;34;4
38;2024-05-22;САО;65;1
39;2025-07-28;ВАО;34;1
40;2025-08-21;ЮАО;55;1
41;2025-02-12;ЗАО;32;2
42;2024-05-21;ВАО;49;1
43;2024-04-03;ЦАО;25;0
44;2024-06-05;САО;61;0
45;2025-03-08;ВАО;22;3
46;2025-01-29;ЮАО;56;3
47;2025-04-24;ВАО;34;2
48;2025-07-20;ЦАО;61;2
49;2024-04-27;ВАО;35;0
50;2024-12-14;ЦАО;36;3
51;2025-03-21;САО;47;0
52;2024-01-04;ЗАО;50;4
53;2024-07-01;ВАО;24;2
54;2024-11-01;ВАО;56;1
55;2024-07-22;САО;41;0
56;2024-06-14;ВАО;51;1
57;2024-01-01;ВАО;38;2
58;2025-05-15;ЦАО;25;0
59;2025-01-06;ЗАО;33;2
60;2024-02-29;САО;54;3
61;2024-03-21;ЦАО;64;3
62;2025-05-12;ЦАО;52;1
63;2024-05-08;САО;60;3
64;2025-05-01;ВАО;28;1
65;2024-09-28;ВАО;56;3
66;2025-03-09;САО;52;1
67;2024-07-24;ЗАО;43;1
68;2025-01-17;ЮАО;51;2
69;2025-04-07;ЦАО;33;1
70;2024-08-18;ЦАО;39;2
71;2024-01-22;ВАО;53;5
72;2024-08-23;ВАО;32;4
73;2024-01-08;ЦАО;63;2
74;2024-03-01;САО;22;1
75;2024-02-02;ЗАО;22;2
76;2025-06-10;САО;35;4
77;2025-05-12;САО;52;2
78;2024-05-15;ВАО;54;4
79;2025-04-29;САО;48;4
80;2025-02-20;САО;24;0
81;2024-04-09;ЮАО;40;2
82;2025-03-09;ЮАО;47;4
83;2024-02-25;ЦАО;21;2
84;2025-02-16;ЗАО;24;1
85;2024-09-11;САО;30;3
86;2025-07-03;ЮАО;26;3
87;2025-03-08;САО;35;2
88;2025-04-18;САО;22;1
89;2025-03-29;ВАО;24;0
90;2024-02-21;ВАО;18;2
91;2024-04-05;САО;28;2
92;2025-02-20;ЮАО;48;1
93;2024-08-06;ЮАО;21;1
94;2024-06-17;ЮАО;18;5
95;2025-02-03;ЗАО;47;1
96;2024-10-19;ЮАО;62;3
97;2025-07-23;ЮАО;27;2
98;2024-07-13;ЗАО;31;1
99;2024-02-29;ВАО;65;2
100;2025-07-09;ЦАО;65;2
101;2024-11-17;ЦАО;21;3
102;2025-08-21;ЮАО;50;3
103;2025-06-27;САО;21;1
104;2025-06-04;ЦАО;29;4
