client_id;channel;month;spend
1;push;2025-01-01;80
1;sms;2025-01-31;0
1;email;2025-03-02;80
1;social;2025-04-01;0
1;social;2025-05-01;0
1;sms;2025-05-31;80
2;push;2025-01-01;100
2;sms;2025-01-31;0
2;organic;2025-03-02;50
2;organic;2025-04-01;80
2;sms;2025-05-01;80
2;organic;2025-05-31;100
3;sms;2025-01-01;0
3;sms;2025-01-31;0
3;organic;2025-03-02;0
3;push;2025-04-01;150
3;email;2025-05-01;150
3;organic;2025-05-31;0
4;social;2025-01-01;0
4;push;2025-01-31;150
4;push;2025-03-02;0
4;email;2025-04-01;0
4;push;2025-05-01;0
4;sms;2025-05-31;150
5;email;2025-01-01;150
5;social;2025-01-31;200
5;push;2025-03-02;200
5;email;2025-04-01;50
5;email;2025-05-01;0
5;social;2025-05-31;150
6;organic;2025-01-01;0
6;email;2025-01-31;150
6;sms;2025-03-02;80
6;push;2025-04-01;0
6;sms;2025-05-01;0
6;push;2025-05-31;0
7;organic;2025-01-01;0
7;push;2025-01-31;0
7;sms;2025-03-02;50
7;social;2025-04-01;50
7;sms;2025-05-01;150
7;social;2025-05-31;150
8;push;2025-01-01;0
8;social;2025-01-31;0
8;email;2025-03-02;80
8;push;2025-04-01;200
8;email;2025-05-01;0
8;organic;2025-05-31;0
9;social;2025-01-01;0
9;organic;2025-01-31;50
9;organic;2025-03-02;50
9;push;2025-04-01;150
9;organic;2025-05-01;50
9;sms;2025-05-31;80
10;push;2025-01-01;200
10;push;2025-01-31;50
10;sms;2025-03-02;0
10;social;2025-04-01;150
10;sms;2025-05-01;0
10;organic;2025-05-31;0
11;organic;2025-01-01;80
11;email;2025-01-31;100
11;organic;2025-03-02;100
11;social;2025-04-01;80
11;push;2025-05-01;80
11;organic;2025-05-31;0
12;organic;2025-01-01;0
12;push;2025-01-31;200
12;social;2025-03-02;80
12;social;2025-04-01;200
12;sms;2025-05-01;0
12;push;2025-05-31;0
13;social;2025-01-01;50
13;push;2025-01-31;0
13;social;2025-03-02;0
13;organic;2025-04-01;0
13;sms;2025-05-01;200
13;email;2025-05-31;200
14;social;2025-01-01;100
14;social;2025-01-31;0
14;sms;2025-03-02;0
14;organic;2025-04-01;80
14;sms;2025-05-01;0
14;social;2025-05-31;0
15;push;2025-01-01;100
15;email;2025-01-31;100
15;push;2025-03-02;0
15;email;2025-04-01;100
15;email;2025-05-01;80
15;email;2025-05-31;0
16;organic;2025-01-01;150
16;email;2025-01-31;0
16;push;2025-03-02;0
16;sms;2025-04-01;50
16;social;2025-05-01;100
16;organic;2025-05-31;50
17;organic;2025-01-01;50
17;sms;2025-01-31;0
17;social;2025-03-02;50
17;push;2025-04-01;50
17;organic;2025-05-01;150
17;social;2025-05-31;0
18;social;2025-01-01;0
18;email;2025-01-31;100
18;social;2025-03-02;100
18;sms;2025-04-01;0
18;push;2025-05-01;0
18;sms;2025-05-31;0
19;email;2025-01-01;150
19;organic;2025-01-31;150
19;sms;2025-03-02;0
19;push;2025-04-01;200
19;push;2025-05-01;100
19;push;2025-05-31;80
