order_id;client_id;order_date;delivery_zone;delivery_cost;order_sum;payment_type;status
1000;86;2025-11-24;ВАО;318;1053;карта;доставлен
1001;107;2025-03-05;САО;499;304;наличные;доставлен
1002;77;2026-02-04;ЮАО;449;383;карта;доставлен
1003;172;2026-02-19;САО;473;378;карта;доставлен
1004;165;2026-03-15;САО;225;572;карта;отменён
1005;72;2026-03-08;ЗАО;209;819;наличные;доставлен
1006;52;2025-01-21;ВАО;442;221;карта;доставлен
1007;197;2026-01-13;САО;283;483;карта;доставлен
1008;184;2025-07-23;ЦАО;252;431;карта;доставлен
1009;18;2026-06-03;ЗАО;450;275;наличные;доставлен
1010;112;2025-06-30;ВАО;475;830;наличные;возврат
1011;63;2026-04-21;ВАО;372;416;наличные;доставлен
1012;91;2025-09-22;ЗАО;484;447;наличные;доставлен
1013;126;2025-09-04;ЮАО;429;205;наличные;доставлен
1014;79;2026-01-13;ЮАО;417;1028;наличные;доставлен
1015;81;2025-05-03;ВАО;298;563;карта;возврат
1016;50;2025-10-31;САО;207;1203;наличные;доставлен
1017;27;2025-01-13;ВАО;425;698;наличные;доставлен
1018;126;2025-03-17;ВАО;277;198;карта;доставлен
1019;196;2026-03-03;ВАО;467;714;карта;доставлен
1020;16;2025-04-12;САО;241;722;наличные;доставлен
1021;105;2026-04-07;ВАО;318;469;карта;доставлен
1022;170;2025-07-22;ЮАО;276;548;карта;доставлен
1023;192;2025-10-23;ЮАО;406;934;наличные;доставлен
1024;111;2025-11-27;ВАО;317;933;карта;доставлен
1025;72;2025-07-05;ВАО;246;703;наличные;доставлен
1026;178;2026-05-23;ЗАО;481;295;наличные;доставлен
1027;30;2026-02-18;ВАО;477;529;карта;доставлен
1028;195;2025-02-22;САО;347;646;карта;доставлен
1029;142;2025-01-15;ВАО;258;904;карта;доставлен
1030;107;2026-05-10;ЮАО;396;529;карта;доставлен
1031;88;2026-06-04;ЗАО;352;1092;наличные;доставлен
1032;196;2026-01-22;ЮАО;322;971;карта;отменён
1033;170;2025-06-05;ЮАО;457;802;карта;возврат
1034;105;2025-06-08;ЦАО;373;908;наличные;доставлен
1035;139;2025-02-06;ВАО;316;140;наличные;доставлен
1036;114;2025-06-20;ЗАО;366;228;карта;отменён
1037;63;2026-06-28;ЮАО;287;268;карта;доставлен
1038;60;2026-04-18;ЗАО;438;951;карта;доставлен
1039;164;2026-03-11;ЗАО;301;827;наличные;доставлен
1040;180;2025-10-30;ЦАО;340;135;наличные;возврат
1041;74;2025-08-24;ВАО;297;660;карта;доставлен
1042;149;2026-01-09;САО;367;916;наличные;доставлен
1043;70;2025-06-18;ЗАО;351;487;наличные;отменён
1044;143;2026-01-10;ЦАО;335;1009;карта;доставлен
1045;28;2025-08-28;ЮАО;313;404;наличные;доставлен
1046;36;2025-02-16;ЦАО;259;395;наличные;доставлен
1047;95;2026-03-06;ВАО;412;458;карта;доставлен
1048;56;2026-03-31;ЮАО;250;772;наличные;возврат
1049;117;2025-04-04;САО;225;585;карта;доставлен
1050;151;2025-08-10;САО;201;564;карта;доставлен
1051;34;2025-01-16;ЗАО;365;455;карта;доставлен
1052;135;2025-04-27;ЦАО;462;825;наличные;доставлен
1053;16;2026-05-06;ЮАО;451;415;карта;доставлен
1054;160;2025-11-29;ЮАО;432;793;наличные;возврат
1055;185;2025-08-09;ЮАО;411;738;карта;доставлен
1056;171;2025-09-19;ЗАО;234;102;наличные;возврат
1057;34;2025-03-03;ВАО;262;788;наличные;возврат
1058;130;2025-08-06;САО;255;677;карта;доставлен
1059;144;2025-01-27;ВАО;214;328;наличные;отменён
1060;37;2026-02-15;ЦАО;246;1070;карта;доставлен
1061;199;2025-03-28;ЦАО;241;676;карта;доставлен
1062;194;2026-06-09;ЦАО;345;991;карта;доставлен
1063;53;2025-11-05;САО;348;614;наличные;доставлен
1064;137;2025-08-24;ВАО;236;448;наличные;доставлен
1065;147;2026-02-19;ЮАО;210;745;наличные;доставлен
1066;112;2026-02-15;ВАО;373;489;наличные;доставлен
1067;136;2026-06-07;САО;379;249;наличные;отменён
1068;155;2025-06-06;ЦАО;437;1091;наличные;доставлен
1069;121;2026-03-29;ЗАО;380;588;карта;доставлен
1070;166;2025-04-03;ВАО;436;920;наличные;доставлен
1071;129;2025-06-04;ЦАО;243;1133;наличные;доставлен
1072;41;2026-01-08;ЗАО;409;362;наличные;отменён
1073;174;2026-01-31;ЗАО;370;182;карта;доставлен
1074;34;2025-03-28;ЗАО;265;842;наличные;доставлен
1075;197;2026-05-13;САО;279;96;карта;доставлен
1076;10;2025-12-11;ВАО;278;654;наличные;доставлен
1077;174;2025-09-01;ЮАО;319;748;наличные;доставлен
1078;119;2025-10-16;ЮАО;282;558;наличные;доставлен
1079;96;2025-04-16;ВАО;242;557;наличные;отменён
1080;57;2026-04-07;ЗАО;227;891;наличные;отменён
1081;82;2025-04-12;ЗАО;219;909;карта;доставлен
1082;5;2025-09-20;САО;256;244;наличные;доставлен
1083;118;2025-03-06;ЦАО;474;644;наличные;доставлен
1084;75;2026-03-16;ЦАО;492;863;карта;доставлен
1085;142;2025-01-21;ЮАО;398;298;карта;отменён
1086;198;2025-12-07;САО;289;1243;наличные;доставлен
1087;12;2025-07-24;ЦАО;463;831;наличные;доставлен
1088;168;2025-12-06;ЗАО;423;779;наличные;доставлен
1089;133;2025-10-01;ЦАО;420;954;карта;доставлен
1090;79;2026-04-02;ВАО;427;691;карта;доставлен
1091;20;2026-02-20;ЗАО;215;377;карта;доставлен
1092;200;2026-01-11;ЗАО;278;619;карта;доставлен
1093;94;2026-02-12;ЗАО;258;575;карта;доставлен
1094;31;2025-09-26;ЗАО;346;622;карта;доставлен
1095;23;2025-11-24;ЗАО;353;710;наличные;доставлен
1096;36;2025-08-31;ЮАО;439;1200;наличные;доставлен
1097;148;2025-03-17;САО;430;1172;карта;возврат
1098;197;2025-05-13;ЮАО;263;895;карта;доставлен
1099;21;2025-09-14;САО;264;772;наличные;доставлен
1100;149;2025-06-07;САО;488;130;наличные;доставлен
1101;68;2025-08-04;ВАО;454;797;карта;доставлен
1102;177;2025-03-03;САО;437;610;наличные;доставлен
1103;103;2025-05-14;ЗАО;363;441;карта;доставлен
1104;25;2025-02-21;ЗАО;327;337;наличные;отменён
1105;132;2026-04-24;ЮАО;211;348;наличные;отменён
1106;150;2025-12-28;ЦАО;440;714;наличные;доставлен
1107;196;2026-02-17;ЗАО;491;752;карта;доставлен
1108;160;2025-05-02;САО;391;901;наличные;возврат
1109;129;2025-02-11;ЦАО;442;1238;наличные;доставлен
1110;190;2025-11-03;ВАО;488;638;наличные;доставлен
1111;150;2025-11-12;ЦАО;496;753;наличные;доставлен
1112;9;2025-04-23;САО;414;420;наличные;доставлен
1113;189;2025-03-05;САО;444;880;наличные;доставлен
1114;157;2026-05-11;САО;485;621;наличные;возврат
1115;82;2026-05-07;ЗАО;347;388;наличные;доставлен
1116;198;2025-05-30;ЗАО;377;745;карта;доставлен
1117;36;2025-04-22;ВАО;324;465;карта;доставлен
1118;26;2026-02-28;ЗАО;270;430;карта;доставлен
1119;123;2025-07-24;ЗАО;245;814;карта;доставлен
1120;48;2025-10-24;ЦАО;371;778;карта;доставлен
1121;50;2025-04-26;ЗАО;331;370;наличные;доставлен
1122;45;2026-02-20;ЮАО;405;391;карта;доставлен
1123;2;2025-09-25;ЮАО;368;428;наличные;доставлен
1124;171;2025-05-02;ЮАО;457;343;наличные;доставлен
1125;40;2026-04-11;ВАО;475;444;наличные;доставлен
1126;20;2025-04-25;ЦАО;493;921;карта;доставлен
1127;184;2026-05-16;ЦАО;228;1168;наличные;отменён
1128;173;2025-11-12;ЦАО;311;716;карта;доставлен
1129;121;2025-02-02;ЗАО;415;642;карта;доставлен
1130;35;2025-12-23;ЦАО;470;220;наличные;доставлен
1131;109;2026-06-29;ЮАО;435;542;карта;доставлен
1132;158;2025-01-17;САО;217;471;карта;доставлен
1133;139;2025-08-11;ЦАО;319;1001;наличные;доставлен
1134;71;2025-03-04;ВАО;418;864;карта;отменён
1135;179;2026-03-03;ЮАО;294;1243;наличные;доставлен
1136;106;2026-03-03;ВАО;324;535;наличные;доставлен
1137;186;2025-07-15;ЦАО;237;571;карта;доставлен
1138;78;2025-01-16;САО;445;433;карта;отменён
1139;199;2025-10-17;ЮАО;357;968;наличные;доставлен
1140;195;2025-11-24;САО;223;1223;наличные;доставлен
1141;76;2025-06-06;САО;491;772;наличные;доставлен
1142;118;2025-06-22;ЗАО;294;913;наличные;доставлен
1143;36;2025-08-25;ЦАО;311;1111;карта;доставлен
1144;2;2026-06-29;ВАО;471;741;карта;доставлен
1145;46;2025-04-20;ЦАО;298;1005;карта;доставлен
1146;145;2025-09-07;САО;216;284;карта;доставлен
1147;15;2025-01-10;САО;369;984;наличные;доставлен
1148;20;2025-10-15;ВАО;291;732;карта;доставлен
1149;145;2025-09-04;ВАО;476;721;наличные;доставлен
